data;

param:
		Ida:      IDA_SEC         IDA_PERF          IDA_STO :=
   		1	60	-20	-10
2	8	-5	-20
3	8	-10	-15
4	40	-40	-35
5	15	-35	-15
6	70	-30	-15
7	25	-50	-25
8	30	-10	-10
9	60	-20	-10
10	8	-5	-20
11	8	-10	-15
12	40	-40	-35
13	15	-35	-15
14	70	-30	-15
15	25	-50	-25
16	30	-10	-10
17	60	-20	-10
18	8	-5	-20
19	8	-10	-15
20	40	-40	-35
21	15	-35	-15
22	70	-30	-15
23	25	-50	-25
24	30	-10	-10
25	60	-20	-10
26	8	-5	-20
27	8	-10	-15
28	40	-40	-35
29	15	-35	-15
30	70	-30	-15
31	25	-50	-25
32	30	-10	-10
33	60	-20	-10
34	8	-5	-20
35	8	-10	-15
36	40	-40	-35
37	15	-35	-15
38	70	-30	-15
39	25	-50	-25
40	30	-10	-10
41	60	-20	-10
42	8	-5	-20
43	8	-10	-15
44	40	-40	-35
45	15	-35	-15
46	70	-30	-15
47	25	-50	-25
48	30	-10	-10
49	60	-20	-10
50	8	-5	-20
51	8	-10	-15
52	40	-40	-35
53	15	-35	-15
54	70	-30	-15
55	25	-50	-25
56	30	-10	-10
 ;
        
param:
		Enc:      ENC_SEC         ENC_PERF          ENC_STO :=
   		1	60	-70	0
2	8	-5	0
3	15	-10	0
4	40	-50	0
5	15	-20	0
6	5	-5	0
7	25	-15	0
8	0	0	0
9	60	-70	0
10	8	-5	0
11	15	-10	0
12	40	-50	0
13	15	-20	0
14	5	-5	0
15	25	-15	0
16	0	0	0
17	60	-70	0
18	8	-5	0
19	15	-10	0
20	40	-50	0
21	15	-20	0
22	5	-5	0
23	25	-15	0
24	0	0	0
25	60	-70	0
26	8	-5	0
27	15	-10	0
28	40	-50	0
29	15	-20	0
30	5	-5	0
31	25	-15	0
32	0	0	0
33	60	-70	0
34	8	-5	0
35	15	-10	0
36	40	-50	0
37	15	-20	0
38	5	-5	0
39	25	-15	0
40	0	0	0
41	60	-70	0
42	8	-5	0
43	15	-10	0
44	40	-50	0
45	15	-20	0
46	5	-5	0
47	25	-15	0
48	0	0	0
49	60	-70	0
50	8	-5	0
51	15	-10	0
52	40	-50	0
53	15	-20	0
54	5	-5	0
55	25	-15	0
56	0	0	0
 ;
        
param:
		Comp:     COMP_SEC        COMP_PERF         COMP_STO :=
   		1	0	-20	-30
2	0	-15	-20
3	0	-10	-15
4	0	-40	-70
5	0	-35	-50
6	0	-30	-40
7	0	-50	-80
8	0	0	0
9	0	-20	-30
10	0	-15	-20
11	0	-10	-15
12	0	-40	-70
13	0	-35	-50
14	0	-30	-40
15	0	-50	-80
16	0	0	0
17	0	-20	-30
18	0	-15	-20
19	0	-10	-15
20	0	-40	-70
21	0	-35	-50
22	0	-30	-40
23	0	-50	-80
24	0	0	0
25	0	-20	-30
26	0	-15	-20
27	0	-10	-15
28	0	-40	-70
29	0	-35	-50
30	0	-30	-40
31	0	-50	-80
32	0	0	0
33	0	-20	-30
34	0	-15	-20
35	0	-10	-15
36	0	-40	-70
37	0	-35	-50
38	0	-30	-40
39	0	-50	-80
40	0	0	0
41	0	-20	-30
42	0	-15	-20
43	0	-10	-15
44	0	-40	-70
45	0	-35	-50
46	0	-30	-40
47	0	-50	-80
48	0	0	0
49	0	-20	-30
50	0	-15	-20
51	0	-10	-15
52	0	-40	-70
53	0	-35	-50
54	0	-30	-40
55	0	-50	-80
56	0	0	0;

        
param:
		Provider:     PROV_SEC         PROV_PERF       PROV_DUR		PROV_AVAIL PROV_STORAGECOST PROV_BWCOST:=
1	0	20	30	5	10	30
2	0	15	20	10	20	20
3	0	10	15	80	30	15
4	0	40	70	31	40	70
5	0	35	50	10	50	50
6	0	30	40	5	60	40
7	0	50	80	90	70	80
8	0	20	30	5	10	30
9	0	15	20	10	20	20
10	0	10	15	80	30	15
11	0	40	70	31	40	70
12	0	35	50	10	50	50
13	0	30	40	5	60	40
14	0	50	80	90	70	80
15	0	20	30	5	10	30
16	0	15	20	10	20	20
17	0	10	15	80	30	15
18	0	40	70	31	40	70
19	0	35	50	10	50	50
20	0	30	40	5	60	40
21	0	50	80	90	70	80
22	0	20	30	5	10	30
23	0	15	20	10	20	20
24	0	10	15	80	30	15
25	0	40	70	31	40	70
26	0	35	50	10	50	50
27	0	30	40	5	60	40
28	0	50	80	90	70	80
29	0	20	30	5	10	30
30	0	15	20	10	20	20
31	0	10	15	80	30	15
32	0	40	70	31	40	70
33	0	35	50	10	50	50
34	0	30	40	5	60	40
35	0	50	80	90	70	80
36	0	20	30	5	10	30
37	0	15	20	10	20	20
38	0	10	15	80	30	15
39	0	40	70	31	40	70
40	0	35	50	10	50	50
41	0	30	40	5	60	40
42	0	50	80	90	70	80
43	0	20	30	5	10	30
44	0	15	20	10	20	20
45	0	10	15	80	30	15
46	0	40	70	31	40	70
47	0	35	50	10	50	50
48	0	30	40	5	60	40
49	0	50	80	90	70	80
50	0	20	30	5	10	30
51	0	15	20	10	20	20
52	0	10	15	80	30	15
53	0	40	70	31	40	70
54	0	35	50	10	50	50
55	0	30	40	5	60	40
56	0	50	80	90	70	80

        
        
        
        
  	 	57         		0                0            	0			0 		0	0;
        
param MIN_SEC:=  -120;
param MIN_PERF:= -120;
param MIN_STO:= -70;

param WEIGHT_SEC:= 0.4;
param WEIGHT_PERF:= 0;
param WEIGHT_STO:= 0.4;
param WEIGHT_STOCOST:= 0.1;
param WEIGHT_BWCOST:= 0.1;
param WEIGHT_AVAIL:= 0;
param WEIGHT_DUR:= 0;

param PROV_REQ:= 8;



